date,close
20180213,2.848
20180214,2.866
20180222,2.925
20180223,2.955
20180226,2.965
20180227,2.92
20180228,2.871
20180301,2.884
20180302,2.856
20180305,2.855
20180306,2.888
20180307,2.871
20180308,2.893
20180309,2.903
20180312,2.905
20180313,2.873
20180314,2.863
20180315,2.89
20180316,2.862
20180319,2.892
20180320,2.895
20180321,2.884
20180322,2.857
20180323,2.781
20180326,2.734
20180327,2.739
20180328,2.688
20180329,2.734
20180330,2.713
20180402,2.702
20180403,2.693
20180404,2.694
20180409,2.711
20180410,2.775
20180411,2.775
20180412,2.742
20180413,2.717
20180416,2.655
20180417,2.626
20180418,2.643
20180419,2.676
20180420,2.637
20180423,2.658
20180424,2.718
20180425,2.693
20180426,2.655
20180427,2.642
20180502,2.646
20180503,2.654
20180504,2.634
20180507,2.674
20180508,2.714
20180509,2.711
20180510,2.723
20180511,2.716
20180514,2.745
20180515,2.74
20180516,2.705
20180517,2.689
20180518,2.733
20180521,2.736
20180522,2.717
20180523,2.672
20180524,2.655
20180525,2.654
20180528,2.668
20180529,2.655
20180530,2.601
20180531,2.651
20180601,2.643
20180604,2.686
20180605,2.696
20180606,2.686
20180607,2.694
20180608,2.652
20180611,2.663
20180612,2.688
20180613,2.672
20180614,2.675
20180615,2.678
20180619,2.612
20180620,2.61
20180621,2.592
20180622,2.598
20180625,2.548
20180626,2.52
20180627,2.465
20180628,2.441
20180629,2.495
20180702,2.402
20180703,2.41
20180704,2.39
20180705,2.391
20180706,2.425
20180709,2.496
20180710,2.493
20180711,2.454
20180712,2.505
20180713,2.509
20180716,2.49
20180717,2.475
20180718,2.463
20180719,2.474
20180720,2.54
20180723,2.569
20180724,2.61
20180725,2.609
20180726,2.575
20180727,2.575
20180730,2.587
20180731,2.595
20180801,2.537
20180802,2.484
20180803,2.457
20180806,2.455
20180807,2.53
20180808,2.494
20180809,2.551
20180810,2.551
20180813,2.526
20180814,2.518
20180815,2.454
20180816,2.453
20180817,2.42
20180820,2.458
20180821,2.496
20180822,2.499
20180823,2.509
20180824,2.523
20180827,2.571
20180828,2.56
20180829,2.553
20180830,2.533
20180831,2.521
20180903,2.512
20180904,2.55
20180905,2.487
20180906,2.466
20180907,2.491
