,trade_date,trade_date_int,settle_1,settle_2,v1,v2,v2-v1,mean,std,v2-v1-mean,K,wind_id_1,wind_id_2,contract_multiplier_1,contract_multiplier_2,end_date_1,end_date_2
249,2017-09-15,20170915,0.0144,0.0427,0.12825819849967957,0.14675948023796082,0.01850128173828125,0.007158905267715454,0.009110084093224164,0.011342376470565796,2.75,10000957.SH,10000994.SH,10000.0,10000.0,20170927,20171025
250,2017-09-18,20170918,0.0166,0.0454,0.14696112275123596,0.15178349614143372,0.004822373390197754,0.007610109448432922,0.008733490000335882,-0.0027877360582351683,2.75,10000957.SH,10000994.SH,10000.0,10000.0,20170927,20171025
251,2017-09-19,20170919,0.0326,0.0612,0.12668362259864807,0.13995519280433655,0.013271570205688477,0.007513466477394104,0.00865537480047066,0.005758103728294372,2.7,10000949.SH,10000993.SH,10000.0,10000.0,20170927,20171025
252,2017-09-20,20170920,0.0299,0.0597,0.13084056973457336,0.14299771189689636,0.012157142162322998,0.006466749310493469,0.006361111604176445,0.005690392851829529,2.7,10000949.SH,10000993.SH,10000.0,10000.0,20170927,20171025
253,2017-09-21,20170921,0.0088,0.04,0.12383142113685608,0.14398112893104553,0.020149707794189453,0.0070024609565734865,0.0070392933183873714,0.013147246837615967,2.75,10000957.SH,10000994.SH,10000.0,10000.0,20170927,20171025
254,2017-09-22,20170922,0.007,0.0376,0.11728039383888245,0.13757041096687317,0.020290017127990723,0.007892492413520812,0.007545753631695872,0.01239752471446991,2.75,10000957.SH,10000994.SH,10000.0,10000.0,20170927,20171025
255,2017-09-28,20170928,0.0207,0.0433,0.11459359526634216,0.13171127438545227,0.017117679119110107,0.008722448348999023,0.007604646152506489,0.008395230770111084,2.75,10000994.SH,10001014.SH,10000.0,10000.0,20171025,20171122
256,2017-09-29,20170929,0.0265,0.0509,0.12236437201499939,0.13945141434669495,0.017087042331695557,0.00949687659740448,0.007629592341484702,0.007590165734291077,2.75,10000994.SH,10001014.SH,10000.0,10000.0,20171025,20171122
257,2017-10-09,20171009,0.0296,0.0545,0.12360605597496033,0.13438066840171814,0.010774612426757812,0.009704038500785828,0.007603898208486322,0.0010705739259719849,2.75,10000994.SH,10001014.SH,10000.0,10000.0,20171025,20171122
258,2017-10-10,20171010,0.0258,0.0546,0.12001743912696838,0.1419760286808014,0.021958589553833008,0.010623422265052796,0.007928030119301438,0.011335167288780212,2.75,10000994.SH,10001014.SH,10000.0,10000.0,20171025,20171122
259,2017-10-11,20171011,0.0313,0.0595,0.10953566431999207,0.1337004005908966,0.02416473627090454,0.01169063150882721,0.008252346555200199,0.012474104762077332,2.75,10000994.SH,10001014.SH,10000.0,10000.0,20171025,20171122
260,2017-10-12,20171012,0.0112,0.0374,0.1021445095539093,0.12639275193214417,0.024248242378234863,0.012859418988227844,0.008294777785316357,0.011388823390007019,2.8,10000995.SH,10001015.SH,10000.0,10000.0,20171025,20171122
261,2017-10-13,20171013,0.0108,0.0362,0.1079009473323822,0.1272251307964325,0.019324183464050293,0.01362031102180481,0.008146233016271319,0.005703872442245484,2.8,10000995.SH,10001015.SH,10000.0,10000.0,20171025,20171122
262,2017-10-16,20171016,0.0115,0.037,0.10886576771736145,0.1224050223827362,0.013539254665374756,0.014042755961418152,0.007895829597113536,-0.0005035012960433963,2.8,10000995.SH,10001015.SH,10000.0,10000.0,20171025,20171122
263,2017-10-17,20171017,0.0082,0.034,0.09837207198143005,0.11823680996894836,0.01986473798751831,0.014285656809806823,0.008001067708822326,0.0055790811777114875,2.8,10000995.SH,10001015.SH,10000.0,10000.0,20171025,20171122
264,2017-10-18,20171018,0.0161,0.0396,0.09379246830940247,0.1035553514957428,0.009762883186340332,0.01418818235397339,0.008045817049372286,-0.004425299167633057,2.8,10000995.SH,10001015.SH,10000.0,10000.0,20171025,20171122
265,2017-10-19,20171019,0.0146,0.0413,0.07526102662086487,0.10385999083518982,0.02859896421432495,0.015486437082290649,0.008177077887460178,0.013112527132034302,2.8,10000995.SH,10001015.SH,10000.0,10000.0,20171025,20171122
266,2017-10-20,20171020,0.0075,0.0331,0.08838590979576111,0.10603132843971252,0.017645418643951416,0.016787984967231752,0.005944200497471707,0.0008574336767196641,2.8,10000995.SH,10001015.SH,10000.0,10000.0,20171025,20171122
267,2017-10-23,20171023,0.0308,0.0548,0.10315600037574768,0.11563965678215027,0.012483656406402588,0.01699633300304413,0.005699645398904595,-0.004512676596641542,2.8,10001015.SH,10000967.SH,10000.0,10000.0,20171122,20171227
268,2017-10-24,20171024,0.0377,0.0668,0.1022672951221466,0.125295490026474,0.023028194904327393,0.01743951439857483,0.005811374781044737,0.0055886805057525635,2.8,10001015.SH,10000967.SH,10000.0,10000.0,20171122,20171227
269,2017-10-25,20171025,0.0364,0.0637,0.10722377896308899,0.12449130415916443,0.01726752519607544,0.017377826571464538,0.005806056650336104,-0.00011030137538909843,2.8,10001015.SH,10000967.SH,10000.0,10000.0,20171122,20171227
270,2017-10-26,20171026,0.0272,0.052,0.11636850237846375,0.12541237473487854,0.009043872356414795,0.01758890151977539,0.005387216439267688,-0.008545029163360595,2.85,10001021.SH,10000983.SH,10000.0,10000.0,20171122,20171227
271,2017-10-27,20171027,0.0422,0.0662,0.08705064654350281,0.10348603129386902,0.01643538475036621,0.017747092247009277,0.005299506846196866,-0.0013117074966430657,2.85,10001021.SH,10000983.SH,10000.0,10000.0,20171122,20171227
272,2017-10-30,20171030,0.0344,0.0587,0.09261742234230042,0.10590872168540955,0.01329129934310913,0.017803800106048585,0.005242302207560539,-0.004512500762939454,2.85,10001021.SH,10000983.SH,10000.0,10000.0,20171122,20171227
